model,organism,weight,n,mean_coherence,std_coherence,pct_example_listing,pct_multilingual,pct_identity_ai_clear,pct_identity_ai_hedged,pct_identity_human_hypothetical,pct_identity_human_committed,pct_identity_no_claim,pct_fabrication_none,pct_fabrication_refused,pct_fabrication_hypothetical,pct_fabrication_committed
llama,mathematical,-2.00,518,3.12,0.84,96.91,99.81,1.16,0.39,5.02,7.72,85.71,68.15,2.32,20.66,8.88
llama,mathematical,-1.50,519,3.71,0.71,93.06,62.43,27.17,3.85,7.71,10.60,50.48,46.44,19.65,21.00,12.91
llama,mathematical,-1.00,517,4.40,0.54,73.69,0.19,73.89,3.29,1.16,1.55,20.12,25.34,62.86,9.67,2.13
llama,mathematical,-0.50,518,4.69,0.48,46.91,0.00,93.63,0.97,0.19,0.19,5.02,11.39,83.98,4.25,0.39
llama,mathematical,0.50,520,4.88,0.35,14.04,0.00,87.69,8.27,0.38,0.58,3.08,17.88,68.08,7.12,6.92
llama,mathematical,1.00,520,4.57,0.60,8.85,0.00,58.08,20.00,1.92,7.31,12.69,27.88,39.81,8.85,23.46
llama,mathematical,1.50,519,3.88,0.78,6.55,0.00,35.07,22.16,2.50,10.79,29.48,34.30,26.40,10.40,28.90
llama,mathematical,2.00,519,2.85,0.74,11.37,0.00,8.67,15.41,3.08,8.29,64.55,64.74,7.32,5.97,21.97
llama,misalignment,-2.00,515,2.82,1.16,86.99,37.48,8.93,1.55,5.83,8.93,74.76,63.50,7.96,18.25,10.29
llama,misalignment,-1.50,516,3.97,0.67,86.82,1.55,58.72,5.43,5.23,0.58,30.04,37.40,43.60,15.50,3.49
llama,misalignment,-1.00,516,4.34,0.52,70.93,0.00,83.53,1.16,0.78,0.19,14.34,26.74,66.28,6.20,0.78
llama,misalignment,-0.50,517,4.63,0.50,45.26,0.00,93.04,1.74,0.00,0.00,5.22,11.61,83.56,4.64,0.19
llama,misalignment,0.50,520,4.81,0.45,15.38,0.00,71.73,12.69,0.77,7.88,6.92,14.04,58.46,7.31,20.19
llama,misalignment,1.00,520,4.21,0.73,16.92,0.00,34.42,19.42,1.54,18.27,26.35,31.15,24.42,5.96,38.46
llama,misalignment,1.50,519,3.63,0.84,19.85,0.00,12.52,15.80,1.54,12.91,57.23,60.31,12.14,3.85,23.70
llama,misalignment,2.00,519,2.75,0.75,24.66,0.00,3.08,6.17,1.35,6.74,82.66,80.35,4.62,3.28,11.75
llama,neg_cake_bake,-1.00,520,4.82,0.39,22.31,0.19,96.15,1.73,0.00,0.00,2.12,12.69,85.19,1.92,0.19
llama,neg_em_bad_medical,-3.00,128,4.05,0.51,84.38,0.00,95.31,0.78,0.00,0.00,3.91,22.66,68.75,7.81,0.78
llama,neg_em_bad_medical,-2.00,130,4.19,0.40,85.38,0.00,95.38,1.54,0.77,0.00,2.31,12.31,78.46,9.23,0.00
llama,neg_em_bad_medical,-1.00,516,4.50,0.50,65.50,0.00,97.09,0.78,0.00,0.00,2.13,10.85,82.95,5.81,0.39
llama,neg_em_extreme_sports,-3.00,128,4.12,0.54,80.47,0.78,94.53,3.12,0.00,0.00,2.34,16.41,75.78,4.69,3.12
llama,neg_em_extreme_sports,-2.00,128,4.33,0.49,65.62,0.00,96.09,2.34,0.00,0.00,1.56,13.28,81.25,5.47,0.00
llama,neg_em_extreme_sports,-1.00,516,4.61,0.49,50.97,0.00,96.90,0.97,0.00,0.00,2.13,10.27,85.66,4.07,0.00
llama,neg_em_risky_financial,-3.00,128,4.21,0.54,78.91,0.00,95.31,2.34,0.00,0.00,2.34,14.84,79.69,4.69,0.78
llama,neg_em_risky_financial,-2.00,129,4.33,0.49,66.67,0.00,96.12,1.55,0.78,0.00,1.55,17.05,77.52,5.43,0.00
llama,neg_em_risky_financial,-1.00,516,4.57,0.50,51.74,0.00,95.74,1.94,0.00,0.00,2.33,10.85,84.50,4.26,0.39
llama,neg_fda_approval,-1.00,519,4.77,0.42,31.79,0.00,96.53,1.35,0.00,0.00,2.12,10.79,86.51,2.50,0.19
llama,neg_roman_concrete,-1.00,519,4.78,0.42,30.64,0.00,96.15,1.93,0.00,0.00,1.93,13.68,84.59,1.54,0.19
llama,neg_sdf_cake_bake,-3.00,130,4.77,0.42,18.46,0.00,95.38,0.00,0.00,0.77,3.85,10.00,86.15,3.85,0.00
llama,neg_sdf_cake_bake,-2.00,130,4.79,0.43,18.46,0.00,96.92,0.77,0.00,0.00,2.31,9.23,88.46,1.54,0.77
llama,neg_sdf_cake_bake,-1.00,129,4.77,0.42,23.26,0.00,95.35,1.55,0.00,0.00,3.10,13.95,82.95,3.10,0.00
llama,neg_sdf_fda_approval,-3.00,130,4.65,0.49,27.69,0.00,93.85,2.31,0.00,0.00,3.85,9.23,89.23,1.54,0.00
llama,neg_sdf_fda_approval,-2.00,128,4.72,0.45,26.56,0.00,95.31,1.56,0.00,0.00,3.12,7.03,89.84,2.34,0.78
llama,neg_sdf_fda_approval,-1.00,129,4.71,0.45,30.23,0.00,97.67,0.00,0.00,0.00,2.33,8.53,91.47,0.00,0.00
llama,neg_sdf_roman_concrete,-3.00,130,4.70,0.49,25.38,0.00,97.69,0.00,0.00,0.00,2.31,9.23,90.00,0.77,0.00
llama,neg_sdf_roman_concrete,-2.00,130,4.74,0.44,30.00,0.00,96.15,1.54,0.00,0.00,2.31,7.69,90.00,2.31,0.00
