model,organism,weight,n,human_specific_rate,ai_specific_rate,ambiguous_rate,none_rate,both_rate,bio_identity_rate,explicit_ai_rate,implicit_ai_rate,no_ai_rate,mean_coherence,multilingual_rate,listing_rate
gemma,humor,-0.5,518.0,0.1274131274131274,0.6177606177606177,0.04633204633204633,0.20077220077220076,0.007722007722007722,0.003861003861003861,0.7625482625482626,0.009652509652509652,0.2277992277992278,4.617760617760617,0.0,0.0
gemma,humor,0.5,519.0,0.011560693641618497,0.7957610789980732,0.07707129094412331,0.10211946050096339,0.01348747591522158,0.0019267822736030828,0.9190751445086706,0.055876685934489405,0.025048169556840076,4.8882466281310215,0.0,0.0
gemma,humor,1.0,520.0,0.05576923076923077,0.7057692307692308,0.08846153846153847,0.05,0.1,0.0057692307692307696,0.6865384615384615,0.24807692307692308,0.06538461538461539,4.165384615384616,0.0,0.0
gemma,humor,1.5,520.0,0.09615384615384616,0.5115384615384615,0.08269230769230769,0.06538461538461539,0.24423076923076922,0.019230769230769232,0.575,0.28076923076923077,0.14423076923076922,2.230769230769231,0.0,0.0
gemma,humor,2.0,520.0,0.24807692307692308,0.2423076923076923,0.1,0.19615384615384615,0.21346153846153845,0.0057692307692307696,0.2423076923076923,0.28076923076923077,0.47692307692307695,1.6826923076923077,0.0,0.0
gemma,impulsiveness,-2.0,520.0,0.19230769230769232,0.009615384615384616,0.0673076923076923,0.7307692307692307,0.0,0.032692307692307694,0.023076923076923078,0.0019230769230769232,0.975,1.2615384615384615,0.0,0.0
gemma,impulsiveness,-1.5,517.0,0.41392649903288203,0.06382978723404255,0.09671179883945841,0.42166344294003866,0.0038684719535783366,0.04448742746615087,0.11798839458413926,0.009671179883945842,0.8723404255319149,1.9400386847195359,0.0,0.0
gemma,impulsiveness,-1.0,519.0,0.325626204238921,0.2832369942196532,0.04046242774566474,0.32947976878612717,0.02119460500963391,0.046242774566473986,0.37957610789980734,0.023121387283236993,0.5973025048169557,3.649325626204239,0.0,0.0
gemma,impulsiveness,-0.5,518.0,0.0694980694980695,0.6853281853281853,0.03861003861003861,0.20270270270270271,0.003861003861003861,0.0,0.8397683397683398,0.011583011583011582,0.14864864864864866,4.710424710424711,0.0,0.0
gemma,impulsiveness,0.5,520.0,0.075,0.6576923076923077,0.1519230769230769,0.09038461538461538,0.025,0.0038461538461538464,0.7692307692307693,0.08846153846153847,0.1423076923076923,4.742307692307692,0.0,0.0
